486 students got an average of their 2 choice, while 14 students did not get any of their choices
Student Name, Student GPA, Project UUID, Project Title
VICTOR WASHINGTON, 2.46, f1be9e66-6f2a-4e81-80dc-c6fff0e41b5c, Using rfid to improve doing stand-up
PHYLLIS MURPHY, 3.51, 543c9ee9-a4cd-47dc-be57-e6064dec72f1, Using ai to streamline running for the senate
RACHEL EDWARDS, 2.13, cb3d1184-e988-4a95-b3df-a539c0fab5e2, Using excel to analyse patterns in starring in madcap comedies
FRED SIMMONS, 3.76, b90ab90c-46be-45bd-8a32-d89a1aa1c23c, Security analysis of revelling in blood spatter
EDITH MILLER, 2.5, 6e4de9bf-6df3-4d73-aff5-49f004870da7, Using excel to analyse patterns in writing plays about the middle classes
CHRISTOPHER GREEN, 3.58, 8fc95c0b-4dcb-4c53-9582-936e99ff6f20, Using excel to analyse patterns in writing pop songs
CURTIS ADAMS, 2.31, 2174088b-e707-4ccd-bf8f-13397869eafe, Security analysis of sucking roots
EARL COLEMAN, 3.37, 9db2ced2-6dd1-493d-aa0b-72960d47243f, Using rfid to improve chasing old women
ROBERT COX, 2.7, f13b1aaf-c86a-41c4-820e-8e05dc9d2de7, Worshipping cthulu in singing opera arias
DIANA GONZALEZ, 3.29, 2a9e73be-1ad5-46bf-9292-7f398ec4c632, Using rfid to improve composing classical music
JESSICA MURPHY, 2.29, 13172f02-454f-41cd-a22a-7ac17923b7d8, Using rfid to improve studying the cosmos
DENNIS JOHNSON, 3.52, baa38261-0736-4b46-8a6f-f8121d31fc10, Using ai to streamline writing epic poetry
CHRIS WILLIAMS, 2.77, 7b465d22-f61e-49e3-83d9-af7419c1670b, Using excel to analyse patterns in starring in action movies
LISA ROSS, 3.06, 98021e37-cef4-42b5-8a66-ff5852b2ec08, View of dagon in promoting Objectivism
TRACY BARNES, 3.82, 92053d9a-ccb2-46cf-ae1c-94840f791165, Using excel to analyse patterns in writing beat fiction
JEFF KING, 3.06, 57f301b9-6b27-4e78-97a8-0223bc9f6ac3, Using ai to streamline starring in Hollywood movies
JASON WARD, 2.64, 2513d716-893d-4844-8aa0-2c6391f8a92e, Security analysis of seducing women
BETTY GONZALEZ, 2.91, 72257529-3e7b-46d9-9747-5179e37477d4, Worshipping cthulu in recording pop songs
RALPH RODRIGUEZ, 3.85, 53566c3c-f805-47fb-84ff-8dc27d3a78a1, Using excel to analyse patterns in falling gracefully
ANNIE NELSON, 3.7, f15540ff-3937-407b-bb24-60d3d7f63852, Using rfid to improve dating centrefolds
ROBERT BARNES, 3.61, f5d132b0-9ff9-4fda-b2e5-83e5b2ee4767, Using ai to streamline selling fried chicken
JOSEPH MARTIN, 3.85, e8121034-e12e-4f7f-9308-e9c2241ac22c, Using excel to analyse patterns in singing middle-of-the-road songs
JESSE MILLER, 2.65, 6c085c26-66f5-4f0f-a049-c9365bb955a3, Worshipping cthulu in performing magic tricks
ROSE GARCIA, 2.13, 0efbb25e-0e1d-43d2-809c-ea252cda210d, Using excel to analyse patterns in watching TV
KEVIN GREEN, 2.89, 01a6d33c-e7d5-4c8f-86c9-da9f7a66a0dd, Security analysis of promoting big business
TINA GREEN, 3.39, e6c950a5-888d-4f52-892e-82663252be9f, Using rfid to improve drawing political cartoons
MATTHEW PRICE, 2.34, c6a64a4f-f939-4a1e-92fc-dbde48afac86, Security analysis of revolutionizing physics
PAUL POWELL, 3.09, 7b4293d6-df94-423e-a8bd-2f2064c9d25a, Worshipping cthulu in singing rock songs
PATRICIA WALKER, 2.53, 1e9449c1-de36-456c-8e98-6b4fa1a4dc53, Using rfid to improve studying symbols
CHERYL SCOTT, 3.42, f15540ff-3937-407b-bb24-60d3d7f63852, Using rfid to improve dating centrefolds
NORMAN KING, 2.39, 65b94f9f-63d8-4e30-9441-9be3a6c2f831, Using ai to streamline piloting the lunar module
HEATHER PEREZ, 2.41, c141a962-fb07-4d75-a274-24f24da5cd89, Worshipping cthulu in starring in romantic comedies
RICHARD LONG, 3.47, 07549fa5-09d8-42a5-87a7-c3180e76d57e, Using excel to analyse patterns in coasting on past glories
HARRY GONZALEZ, 2.07, 2329cf6d-b2d4-410a-94ba-2dc289db7997, Worshipping cthulu in designing modern buildings
MARILYN MORGAN, 3.59, 38ec9035-b5bd-4128-a399-46158cab59f1, Security analysis of campaigning for the senate
CARMEN HERNANDEZ, 3.37, 02ed8f2e-e9c1-495d-adad-a10a17296659, Using rfid to improve studying genetics
PAUL PERRY, 2.43, cd46b201-e2d8-453b-b73d-349a63a9f7ea, Worshipping cthulu in winning boxing matches
FRANK ALLEN, 3.68, 16bb5354-5a0a-42e5-8d64-553dd59e7146, Using ai to streamline campaigning for democracy
ROBIN ALLEN, 3.67, 835e0fe5-48d0-4ed5-9384-e6b4eb7a2f56, Using ai to streamline writing plays
DOUGLAS NELSON, 2.91, 2b8deeeb-182c-4b29-aeb5-7dfc77cd7059, View of dagon in fighting with the mob
TAMMY JOHNSON, 2.25, f77e46e2-7fc2-4439-b5cc-63afd0c6df46, Worshipping cthulu in promoting conservative values
FLORENCE TAYLOR, 3.66, 8e7b7c0a-2689-4986-a600-30b3efed909f, Using ai to streamline hitting home runs
RACHEL TORRES, 2.01, ad3d0d89-cca6-4b08-ad12-b0667e288999, Security analysis of rescuing kids
JUAN ANDERSON, 2.29, 481c2ccb-a1af-495c-b2b7-2766708164ad, Using ai to streamline running an empire
PAMELA STEWART, 2.8, bba8099b-d1ea-4f15-8c77-ab2916efc172, View of dagon in starring in romantic comedies
NORMAN COOK, 3.42, 58607fce-d427-40a4-aff6-dd58e5d51965, Security analysis of starring in Hollywood movies
BILLY LOPEZ, 3.71, d9e3d750-7a4c-4a5a-9de0-74edac4d05c0, Worshipping cthulu in promoting boxing fights
CLARENCE JACKSON, 2.08, f076ac5a-12d5-4d81-b548-0bae3f1a2604, View of dagon in making threatening phone calls
JEREMY JENKINS, 3.8, fa139cc9-7cf4-4e6c-b857-ac4f773e6e4b, Worshipping cthulu in spitting while speaking
JASON MURPHY, 2.47, 8d01cc7d-6b89-4489-9f0a-6f0d9e842c83, Worshipping cthulu in campaigning for the senate
LUIS SANCHEZ, 2.2, 6e4de9bf-6df3-4d73-aff5-49f004870da7, Using excel to analyse patterns in writing plays about the middle classes
HENRY HALL, 3.62, 5f0e92fb-5fbf-463b-a34c-6c2e4571c961, Using excel to analyse patterns in writing compelling dialogue
DIANE HUGHES, 2.03, 3917fe64-7c31-43c4-a371-12579f801eea, Using rfid to improve writing about manly pursuits
DEBORAH EDWARDS, 3.26, e86713a3-1916-43fc-8b6c-1b20bcb57490, Using rfid to improve starring in Hollywood movies
DEBORAH MARTINEZ, 3.55, 9db2ced2-6dd1-493d-aa0b-72960d47243f, Using rfid to improve chasing old women
ROGER MOORE, 3.91, b9c3592c-0aac-4229-a234-f5887b5632c6, Using rfid to improve writing modern poetry
SUSAN COLEMAN, 3.78, 742f55d5-5a4a-482c-a54a-23c4e9bc6d4b, View of dagon in campaigning for the presidency
JOE FOSTER, 2.9, 653ce2a3-afd1-44da-bca8-3d0297b1a46d, Using rfid to improve tracking down fugitives
GRACE BRYANT, 3.54, f076ac5a-12d5-4d81-b548-0bae3f1a2604, View of dagon in making threatening phone calls
JESSICA PHILLIPS, 3.97, 09878288-9b0b-4f99-b0ee-9fb5726e2df7, Worshipping cthulu in ranting about politics
ANDREA BROOKS, 2.95, 649b1233-3522-4458-b766-9828fd854d7a, Using excel to analyse patterns in starring in comedies
JAMES CLARK, 2.28, a4d41fc7-d680-4486-bdb2-c53de34d7b73, Using rfid to improve convicting criminals
LEONARD NELSON, 2.03, 5eb5a88d-e5f2-480a-b04f-d964c7ea97e1, Security analysis of writing experimental songs
ADAM WASHINGTON, 2.59, 5265477a-0782-4e1b-a22c-c2cf4d70c78a, Worshipping cthulu in working out
SAMUEL MITCHELL, 3.38, 599cb8b7-c9c3-46b3-aad7-f43cc6dac0b2, Using ai to streamline playing grungy music
FLORENCE ALEXANDER, 2.4, a89db680-bd64-48d6-9ee1-7860874173c7, Worshipping cthulu in starring in action movies
TAMMY DAVIS, 3.27, 41988aa4-2531-40dc-a9b6-b0b43e08887c, Worshipping cthulu in making dumb comedies
KATHY LONG, 2.24, f260cb44-caab-41d7-bfea-9ed5c04d4ad5, Using excel to analyse patterns in fighting with the mob
SYLVIA PHILLIPS, 3.28, fa139cc9-7cf4-4e6c-b857-ac4f773e6e4b, Worshipping cthulu in spitting while speaking
DAVID WATSON, 2.94, 9a693328-84b9-41cc-bd2a-5b91572df196, Using excel to analyse patterns in starring in action movies
LAURA RODRIGUEZ, 3.49, 53566c3c-f805-47fb-84ff-8dc27d3a78a1, Using excel to analyse patterns in falling gracefully
PHILIP COOPER, 2.86, 8d3c3d0f-281c-4e8a-a201-dbc6d81d9227, Using rfid to improve womanizing
GREGORY WARD, 2.62, 8c91a0e3-816c-479f-b0bf-786566eae36d, Worshipping cthulu in making prank calls
GLADYS JAMES, 3.66, e94dace7-1c1e-4c27-817b-5d85589be16f, Worshipping cthulu in drawing whimsical cartoons
LORI COOK, 3.79, e8121034-e12e-4f7f-9308-e9c2241ac22c, Using excel to analyse patterns in singing middle-of-the-road songs
DOROTHY SMITH, 2.14, 0dc2f841-b350-4e84-a26f-6f836589bdca, Using excel to analyse patterns in winning cycling races
RUSSELL GRIFFIN, 2.49, 369fa8ca-2ee6-4d24-93dc-66227afe8aef, View of dagon in doing stand-up
JACK NELSON, 2.54, 41988aa4-2531-40dc-a9b6-b0b43e08887c, Worshipping cthulu in making dumb comedies
DOUGLAS ROSS, 3.69, e7802658-2601-4fc4-b9b2-faf6af6702d5, Security analysis of starring in romantic comedies
HENRY GRAY, 2.86, eba46bbf-dd36-4b01-bc32-be40401fbf8d, Using ai to streamline making witty remarks
JUDITH RICHARDSON, 2.41, 8e7b7c0a-2689-4986-a600-30b3efed909f, Using ai to streamline hitting home runs
JOHNNY HARRIS, 3.19, 921e948b-ebd4-4b59-83f5-8261d5993aaf, View of dagon in writing comedy
BRYAN BRYANT, 3.58, 13172f02-454f-41cd-a22a-7ac17923b7d8, Using rfid to improve studying the cosmos
JUDITH WRIGHT, 3.64, f35aa5f4-be19-46d0-992e-eae652c4523c, Security analysis of surviving in the 25th century
VINCENT BARNES, 3.72, eeae7fb2-1fb0-44e7-b157-19e3e063cd08, Using excel to analyse patterns in promoting conservative values
BRENDA HAYES, 3.44, eeae7fb2-1fb0-44e7-b157-19e3e063cd08, Using excel to analyse patterns in promoting conservative values
JACQUELINE PEREZ, 3.93, cd46b201-e2d8-453b-b73d-349a63a9f7ea, Worshipping cthulu in winning boxing matches
AARON BAILEY, 3.63, aa8c9d75-f899-4dd8-bb9f-2b0b1a5086e6, Using excel to analyse patterns in avoiding growing old
JUDITH PRICE, 3.24, 5c0e7bfd-d0b7-483f-8bc4-c10b56ff470d, Worshipping cthulu in womanizing
STEVEN BARNES, 2.42, 232596e7-8d18-4ce0-9f33-58d2f822d8d1, Using excel to analyse patterns in surviving in the 25th century
WILLIE WHITE, 2.56, 9a693328-84b9-41cc-bd2a-5b91572df196, Using excel to analyse patterns in starring in action movies
BETTY WASHINGTON, 3.9, 65b94f9f-63d8-4e30-9441-9be3a6c2f831, Using ai to streamline piloting the lunar module
CHRISTINE MURPHY, 3.66, 575567d3-3cb8-42dc-bd0d-4a9fa4bcbd48, Using rfid to improve gadding about town
BILLY SANCHEZ, 2.45, 037854ee-d492-4843-a716-17801b9c6888, View of dagon in performing kung-fu moves
MARGARET HUGHES, 2.4, 2a7b3a5e-3644-4d59-9770-3bbd2dd929a4, Using excel to analyse patterns in hunting raccoons
EDITH REED, 2.56, fcf23231-732f-4b85-843b-63a31a85a668, Using excel to analyse patterns in selling consumer goods
GARY RODRIGUEZ, 3.22, f1be9e66-6f2a-4e81-80dc-c6fff0e41b5c, Using rfid to improve doing stand-up
BRUCE WASHINGTON, 2.83, b147d49f-bbd1-4881-a93f-9813c8398491, Using rfid to improve recording pop songs
ALLEN RICHARDSON, 2.12, b8043b73-b811-41bd-90f1-c5affa0fbe69, Using ai to streamline driving around America
JOSE ROGERS, 2.76, fd8fba7d-c562-490a-bdce-2be321489213, Using ai to streamline laughing maniacally
CRYSTAL PERRY, 3.6, 6f630426-8c47-4cac-b5af-fdf25f434396, Worshipping cthulu in promoting evolutionary theory
WILLIAM RICHARDSON, 3.93, b2f45364-e88f-4929-9a52-56356a227050, Using rfid to improve seducing emperors
HAROLD WRIGHT, 3.81, 0dc2f841-b350-4e84-a26f-6f836589bdca, Using excel to analyse patterns in winning cycling races
HEATHER SANDERS, 2.38, 57b5d4f1-19ee-4ac5-9dfe-98861c9e5edf, Security analysis of making bad movie choices
DAVID MORGAN, 2.99, 53566c3c-f805-47fb-84ff-8dc27d3a78a1, Using excel to analyse patterns in falling gracefully
PEGGY GARCIA, 3.66, 5af1cf66-a1b1-4e6c-ad40-cf931ec5d0a1, Security analysis of exploring darkest Africa
JOE MOORE, 2.78, 554d91cf-2972-4478-8d6b-a6cfe1b5ea68, View of dagon in apprehending criminals
CURTIS BROWN, 3.41, 369fa8ca-2ee6-4d24-93dc-66227afe8aef, View of dagon in doing stand-up
GLORIA BAILEY, 3.19, 1e9449c1-de36-456c-8e98-6b4fa1a4dc53, Using rfid to improve studying symbols
BRUCE WALKER, 3.45, 1e9449c1-de36-456c-8e98-6b4fa1a4dc53, Using rfid to improve studying symbols
ROSE RIVERA, 3.8, 94c372ef-79d5-489a-8dd0-aaaa16b30876, Security analysis of directing weird movies
VIRGINIA WRIGHT, 2.86, 8c91a0e3-816c-479f-b0bf-786566eae36d, Worshipping cthulu in making prank calls
LOIS LONG, 2.18, e540d7b0-1022-4437-842c-4f9167a4c089, Security analysis of starring in romantic comedies
CRYSTAL BARNES, 2.54, 9db2ced2-6dd1-493d-aa0b-72960d47243f, Using rfid to improve chasing old women
DANIEL BUTLER, 2.03, ad3d0d89-cca6-4b08-ad12-b0667e288999, Security analysis of rescuing kids
BONNIE BENNETT, 3.04, 5f20a8f0-5b66-4bc0-a4bc-f57e975ce7c5, Security analysis of making idealistic movies
ALAN HILL, 3.6, 81e41af0-cb3d-4a1a-8434-6c9391bd9110, Using ai to streamline terrorizing employees
KATHLEEN PRICE, 3.32, 57b5d4f1-19ee-4ac5-9dfe-98861c9e5edf, Security analysis of making bad movie choices
JOYCE NELSON, 3.58, e6c950a5-888d-4f52-892e-82663252be9f, Using rfid to improve drawing political cartoons
TRAVIS RODRIGUEZ, 2.91, 94fb67e0-6219-4fbd-84eb-35f200867bab, Worshipping cthulu in making bad movie choices
ROBERT JONES, 2.03, 3b933a43-6a4d-499f-81a9-80746f5670ac, Using excel to analyse patterns in changing sides
KEITH CLARK, 3.87, 46a04131-8e7c-427e-984f-f08cd15a6e49, Using excel to analyse patterns in starring in madcap comedies
ANN PEREZ, 3.87, b53a0dff-9372-4082-8134-0ced9b7c987d, Security analysis of chasing old women
RUBY WALKER, 2.87, cd46b201-e2d8-453b-b73d-349a63a9f7ea, Worshipping cthulu in winning boxing matches
PATRICK ALEXANDER, 3.67, 78153fa8-4a35-4366-916e-ef4291917b4a, Security analysis of ranting about liberals
RUSSELL WASHINGTON, 2.05, 975cc488-c5b3-4166-a1eb-68e90f387a1c, Using ai to streamline studying genetics
MARIA FOSTER, 2.56, 53194a9b-2d23-4578-bc37-2d672b17ecf5, Worshipping cthulu in studying the cosmos
GERALD FOSTER, 3.98, 6275c40e-0080-4ba3-88b5-2cb35002cf7b, Security analysis of promoting Heliocentrism
CARMEN LONG, 2.72, 73ccf34a-6d6b-4ca1-9aae-42278474f8d3, Using ai to streamline making Italian movies
RITA THOMAS, 3.78, 262d23c5-261f-4a5b-9dba-f2a7aee8c256, Using excel to analyse patterns in writing mystery stories
SARA FLORES, 2.77, d6e0d923-0b47-4408-8211-31ee330660b3, Worshipping cthulu in designing modern buildings
JEFFERY WRIGHT, 3.69, d265d34a-1836-4d1c-bd86-fbf778565c89, Using rfid to improve coasting on past glories
KATHY RIVERA, 2.93, a61a3fa0-77a5-4fa1-a55a-7d316168d50e, Using excel to analyse patterns in building giant walls
MARIE ALLEN, 3.23, 27c75a39-d211-4692-af3a-4025b6aae8d4, Worshipping cthulu in constructing an ironic public image
LOUIS TORRES, 2.24, f036f509-ab92-4dca-a5e9-b57f71be802b, Using rfid to improve pouting on camera
JASON THOMPSON, 2.04, a8d6c5b8-e75d-43bf-9f36-8ca6a1ab9966, Using excel to analyse patterns in coasting on past glories
BETTY BUTLER, 2.47, 5572ce14-8d18-4cc6-af68-cb944fb3a5c1, Worshipping cthulu in moaning about men
GLENN CAMPBELL, 2.17, 2e58b48f-3aab-4478-a5b2-4c6338e468ac, Using rfid to improve promoting conservative values
KATHRYN EVANS, 2.93, aeba768a-64c4-498c-a680-ad5af15590f5, Using excel to analyse patterns in promoting boxing fights
NATHAN KELLY, 3.75, b8043b73-b811-41bd-90f1-c5affa0fbe69, Using ai to streamline driving around America
