Student Number, Student Name, Project Title
22200055, Angelina Jolie, Supervised learning framework for maximum clique enumeration
22200060, Babe Ruth, Error Correction Coding for the Z-Channel
22200070, Allan Quatermain, Wireless Network Connections as a Proxy for Human Presence
22200075, Boba Fett, Rocket League Bots
22200091, Arthur Conan Doyle, 3D VR Baby
22200092, Alan Greenspan, Energy Predictive Model for Multi-threaded Data-parallel applications on Multicore CPUs
22200109, Bob Dylan, Interpretable models for gene sensitivity in cancer cell lines
22200120, Antonio Vivaldi, Paying (a little) Attention to Sarcasm
22200123, Britney Spears, Teaching CBT techniques with reinforcement conditioning.
22200134, John Wilkes Booth, Embeddings for geospatial ontology representation
22200138, Abraham Lincoln, LexiGrow
22200161, Barack Obama, Time tabling optimisation
22200161, Bear Grylls, Active Learning and Text Classification for Analysing Rock Climbing Data 
22200169, Audrey Hepburn, Predicting fire brigade call outs for Dublin city
22200174, Austin Powers, Tia Lip-Sync-II
22200222, Barry White, Visualising Harmony: Graphing Music Signals
22200240, Alan Sugar, Capturing movement data using mobile phones
22200254, Emma Bovary, Network Analysis of the Global Football Transfer Market
22200277, Ben Affleck, AI Coaching
22200283, Alec Baldwin,  Visualisation of Soil Data in Smart Farming
22200326, Bill Cosby, Fulfillment Centre Simulation
22200465, Adam Sandler, UAV Trajectory Analysis
22200487, Al Bundy, Social Networks via Strategic Games
22200502, Anton Chekov, ACME - Aspect Model Explainer for Top N Recommendation
22200695, Ayn Rand, P-centre estimation from audio signals (speech and music)
22200701, Bruce Lee, Vulnerability Assessment of the Internet of Things (IoT) in the Irish Context
22200849, Leonard Cohen, Plant Phenotyping
22200861, Alfred Hitchcock, Data Warehouse Design and Schema for Healthcare data Analytics
22200936, Arnold Schwarzenegger, Duncannon Fort Visitor Experience: User Location Capability
22200996, Billy Crystal, High-Precision GPS Correctional Data Broadcaster
22201041, Anthony Bourdain, A Tool for Automated Security Refactorings
22201108, Tina Fey, Understanding and predicting fire brigade response times for Dublin city
22201163, Benedict Arnold, An online courses recommender system using a non personalised approach
22201165, Benjamin Franklin, 
22201278, Bing Crosby, Intent Classification - Better than Luis?
22201398, Billy Bob Thornton, Playlist Recommendation Based on Concert Setlist Analysis
22201647, Al Pacino, CO2AWARE - A Mobile App for Reducing Carbon Footprint
22201672, Basil Fawlty, Simulation of Hadoop Task Scheduling Algorithms in Distributed Computing Environments
22202960, Anna Karenina, A Lightweight Blockchain-based Solution for Auditable Software
22203151, Daniel Day-Lewis, Performance Comparison of Streaming Applications over Spark and Storm
22203812, Albert Einstein, Collective Portrait - passive smart photo frame that aggregates faces
22203890, Bertie Wooster, Chatbots as Ethical Data Collectors
22203925, Al Gore, SimilarSpeak
22204163, Brian Wilson, Spoilers Begone: Identifying and Hiding Movie Spoilers in Online Text
22204208, Ariel Sharon, Duncannon Fort Visitor Experience: Augmented Reality Content Engine
22204223, Ann Coulter, Lunacy
22204505, Benny Hill, Smart controlling green buildings for reducing carbon footprint emissions
22204865, Adam West, Identfying Twitter Bots  
22208094, Bill Murray, GanRecommender
22208113, Al Capone, Bayesian Personalised Ranking for Accuracy
22208114, Aristotle Onasis, Age-Related Differences in Speech
